ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (1 P1)
a=5.59234, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Pb2  1a     0.50000   0.50000   0.00000   1.00000
Ti1  1a     0.50000   0.00000   0.50000   1.00000
Ti2  1a     0.00000   0.50000   0.50000   1.00000
O1   1a     0.25000   0.25000   0.50000   1.00000
O2   1a    -0.25000  -0.25000   0.50000   1.00000
O3   1a     0.25000  -0.25000   0.50000   1.00000
O4   1a    -0.25000   0.25000   0.50000   1.00000
O5   1a     0.50000   0.00000   0.00000   1.00000
O6   1a     0.00000   0.50000   0.00000   1.00000

Subgroup details
1 P1, basis={(-16,0,0),(0,-1,0),(0,0,1)}, origin=(2.99212,1.00000,-0.01301), s=16, i=16

Undistorted superstructure 
a=89.47749, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
Pb23 1a     0.21831   0.51803   0.01301   1.00000   0.10092  
Pb25 1a     0.28086   0.56107   0.01301   1.00000   0.34167  
Pb27 1a     0.34342   0.60384   0.01301   1.00000   0.58089  
Pb29 1a     0.40581   0.67397   0.01301   1.00000   0.97290  
Pb31 1a     0.46814   0.65358   0.01301   1.00000   0.85892  
Pb18 1a     0.53065   0.61227   0.01301   1.00000   0.62795  
Pb20 1a     0.59319   0.56942   0.01301   1.00000   0.38824  
Pb22 1a     0.65576   0.52572   0.01301   1.00000   0.14381  
Pb24 1a     0.71831   0.48197   0.01301   1.00000   0.10092  
Pb26 1a     0.78086   0.43893   0.01301   1.00000   0.34167  
Pb28 1a     0.84342   0.39616   0.01301   1.00000   0.58089  
Pb30 1a     0.90581   0.32603   0.01301   1.00000   0.97290  
Pb32 1a     0.96814   0.34642   0.01301   1.00000   0.85892  
Pb17 1a     0.03065   0.38773   0.01301   1.00000   0.62795  
Pb19 1a     0.09319   0.43058   0.01301   1.00000   0.38824  
Ti5  1a     0.15681  -0.00961   0.51301   1.00000   0.10842  
Ti7  1a     0.21937   0.03411   0.51301   1.00000   0.21513  
Ti9  1a     0.28192   0.07712   0.51301   1.00000   0.44366  
Ti11 1a     0.34445   0.11914   0.51301   1.00000   0.67468  
Ti13 1a     0.40674   0.16042   0.51301   1.00000   0.90141  
Ti15 1a     0.46917   0.13689   0.51301   1.00000   0.76983  
Ti2  1a     0.53170   0.09610   0.51301   1.00000   0.54405  
Ti4  1a     0.59425   0.05333   0.51301   1.00000   0.31134  
Ti6  1a     0.65681   0.00961   0.51301   1.00000   0.10842  
Ti8  1a     0.71937  -0.03411   0.51301   1.00000   0.21513  
Ti10 1a     0.78192  -0.07712   0.51301   1.00000   0.44366  
Ti12 1a     0.84445  -0.11914   0.51301   1.00000   0.67468  
Ti14 1a     0.90674  -0.16042   0.51301   1.00000   0.90141  
Ti16 1a     0.96917  -0.13689   0.51301   1.00000   0.76983  
Ti1  1a     0.03170  -0.09610   0.51301   1.00000   0.54405  
Ti3  1a     0.09425  -0.05333   0.51301   1.00000   0.31134  
Ti21 1a     0.18809   0.51235   0.51301   1.00000   0.11897  
Ti23 1a     0.25065   0.55568   0.51301   1.00000   0.32762  
Ti25 1a     0.31319   0.59815   0.51301   1.00000   0.55896  
Ti27 1a     0.37567   0.64060   0.51301   1.00000   0.79316  
Ti29 1a     0.43791   0.65386   0.51301   1.00000   0.86422  
Ti31 1a     0.50043   0.61697   0.51301   1.00000   0.65935  
Ti18 1a     0.56298   0.57481   0.51301   1.00000   0.42728  
Ti20 1a     0.62553   0.53158   0.51301   1.00000   0.19900  
Ti22 1a     0.68809   0.48765   0.51301   1.00000   0.11897  
Ti24 1a     0.75065   0.44432   0.51301   1.00000   0.32762  
Ti26 1a     0.81319   0.40185   0.51301   1.00000   0.55896  
Ti28 1a     0.87567   0.35940   0.51301   1.00000   0.79316  
Ti30 1a     0.93791   0.34614   0.51301   1.00000   0.86422  
Ti32 1a     0.00043   0.38303   0.51301   1.00000   0.65935  
Ti17 1a     0.06298   0.42519   0.51301   1.00000   0.42728  
Ti19 1a     0.12553   0.46842   0.51301   1.00000   0.19900  
O54  1a     0.17468   0.78620   0.51301   1.00000   0.35789  
O56  1a     0.23723   0.82953   0.51301   1.00000   0.53642  
O58  1a     0.29978   0.87182   0.51301   1.00000   0.74599  
O60  1a     0.36226   0.90842   0.51301   1.00000   0.93594  
O62  1a     0.42411   0.88995   0.51301   1.00000   0.81969  
O64  1a     0.48665   0.85035   0.51301   1.00000   0.61328  
O34  1a     0.54919   0.80783   0.51301   1.00000   0.40946  
O36  1a     0.61174   0.76456   0.51301   1.00000   0.26851  
O38  1a     0.67430   0.72062   0.51301   1.00000   0.30837  
O40  1a     0.73685   0.67725   0.51301   1.00000   0.48588  
O42  1a     0.79938   0.63492   0.51301   1.00000   0.69734  
O44  1a     0.86187   0.59813   0.51301   1.00000   0.89042  
O46  1a     0.92456   0.61707   0.51301   1.00000   0.79600  
O48  1a     0.98702   0.65664   0.51301   1.00000   0.59294  
O50  1a     0.04957   0.69901   0.51301   1.00000   0.40298  
O52  1a     0.11212   0.74219   0.51301   1.00000   0.29287  
O24  1a     0.20595   0.30784   0.51301   1.00000   0.43916  
O26  1a     0.26850   0.35067   0.51301   1.00000   0.63847  
O28  1a     0.33099   0.39089   0.51301   1.00000   0.84332  
O30  1a     0.39303   0.40679   0.51301   1.00000   0.91447  
O32  1a     0.45540   0.37111   0.51301   1.00000   0.72103  
O2   1a     0.51792   0.32925   0.51301   1.00000   0.50848  
O4   1a     0.58047   0.28639   0.51301   1.00000   0.32525  
O6   1a     0.64303   0.24266   0.51301   1.00000   0.26214  
O8   1a     0.70558   0.19890   0.51301   1.00000   0.38885  
O10  1a     0.76814   0.15606   0.51301   1.00000   0.59012  
O12  1a     0.83069   0.11552   0.51301   1.00000   0.80035  
O14  1a     0.89335   0.09986   0.51301   1.00000   0.88763  
O16  1a     0.95576   0.13612   0.51301   1.00000   0.69557  
O18  1a     0.01829   0.17762   0.51301   1.00000   0.49346  
O20  1a     0.08084   0.22043   0.51301   1.00000   0.33092  
O22  1a     0.14340   0.26415   0.51301   1.00000   0.30245  
O37  1a     0.17430   0.27938   0.51301   1.00000   0.30837  
O39  1a     0.23685   0.32275   0.51301   1.00000   0.48588  
O41  1a     0.29938   0.36508   0.51301   1.00000   0.69734  
O43  1a     0.36187   0.40187   0.51301   1.00000   0.89042  
O45  1a     0.42456   0.38293   0.51301   1.00000   0.79600  
O47  1a     0.48702   0.34336   0.51301   1.00000   0.59294  
O49  1a     0.54957   0.30099   0.51301   1.00000   0.40298  
O51  1a     0.61212   0.25781   0.51301   1.00000   0.29287  
O53  1a     0.67468   0.21380   0.51301   1.00000   0.35789  
O55  1a     0.73723   0.17047   0.51301   1.00000   0.53642  
O57  1a     0.79978   0.12818   0.51301   1.00000   0.74599  
O59  1a     0.86226   0.09158   0.51301   1.00000   0.93594  
O61  1a     0.92411   0.11005   0.51301   1.00000   0.81969  
O63  1a     0.98665   0.14965   0.51301   1.00000   0.61328  
O33  1a     0.04919   0.19217   0.51301   1.00000   0.40946  
O35  1a     0.11174   0.23544   0.51301   1.00000   0.26851  
O7   1a     0.20558   0.80110   0.51301   1.00000   0.38885  
O9   1a     0.26814   0.84394   0.51301   1.00000   0.59012  
O11  1a     0.33069   0.88448   0.51301   1.00000   0.80035  
O13  1a     0.39335   0.90014   0.51301   1.00000   0.88763  
O15  1a     0.45576   0.86388   0.51301   1.00000   0.69557  
O17  1a     0.51829   0.82238   0.51301   1.00000   0.49346  
O19  1a     0.58084   0.77957   0.51301   1.00000   0.33092  
O21  1a     0.64340   0.73585   0.51301   1.00000   0.30245  
O23  1a     0.70595   0.69216   0.51301   1.00000   0.43916  
O25  1a     0.76850   0.64933   0.51301   1.00000   0.63847  
O27  1a     0.83099   0.60911   0.51301   1.00000   0.84332  
O29  1a     0.89303   0.59321   0.51301   1.00000   0.91447  
O31  1a     0.95540   0.62889   0.51301   1.00000   0.72103  
O1   1a     0.01792   0.67075   0.51301   1.00000   0.50848  
O3   1a     0.08047   0.71361   0.51301   1.00000   0.32525  
O5   1a     0.14303   0.75734   0.51301   1.00000   0.26214  
O69  1a     0.15897   0.02308   0.01301   1.00000   0.31549  
O71  1a     0.22153   0.06668   0.01301   1.00000   0.47423  
O73  1a     0.28409   0.10929   0.01301   1.00000   0.67991  
O75  1a     0.34664   0.14859   0.01301   1.00000   0.88441  
O77  1a     0.40898   0.14438   0.01301   1.00000   0.85731  
O79  1a     0.47134   0.10583   0.01301   1.00000   0.65305  
O66  1a     0.53387   0.06374   0.01301   1.00000   0.45207  
O68  1a     0.59642   0.02073   0.01301   1.00000   0.30546  
O70  1a     0.65897  -0.02308   0.01301   1.00000   0.31549  
O72  1a     0.72153  -0.06668   0.01301   1.00000   0.47423  
O74  1a     0.78409  -0.10929   0.01301   1.00000   0.67991  
O76  1a     0.84664  -0.14859   0.01301   1.00000   0.88441  
O78  1a     0.90898  -0.14438   0.01301   1.00000   0.85731  
O80  1a     0.97134  -0.10583   0.01301   1.00000   0.65305  
O65  1a     0.03387  -0.06374   0.01301   1.00000   0.45207  
O67  1a     0.09642  -0.02073   0.01301   1.00000   0.30546  
O85  1a     0.19025   0.54500   0.01301   1.00000   0.38420  
O87  1a     0.25281   0.58818   0.01301   1.00000   0.57477  
O89  1a     0.31535   0.62982   0.01301   1.00000   0.78531  
O91  1a     0.37782   0.66006   0.01301   1.00000   0.94293  
O93  1a     0.44010   0.62595   0.01301   1.00000   0.75694  
O95  1a     0.50260   0.58499   0.01301   1.00000   0.54978  
O82  1a     0.56514   0.54230   0.01301   1.00000   0.36677  
O84  1a     0.62769   0.49890   0.01301   1.00000   0.28510  
O86  1a     0.69025   0.45500   0.01301   1.00000   0.38420  
O88  1a     0.75281   0.41182   0.01301   1.00000   0.57477  
O90  1a     0.81535   0.37018   0.01301   1.00000   0.78534  
O92  1a     0.87782   0.33994   0.01301   1.00000   0.94293  
O94  1a     0.94010   0.37405   0.01301   1.00000   0.75694  
O96  1a     0.00260   0.41501   0.01301   1.00000   0.54978  
O81  1a     0.06514   0.45770   0.01301   1.00000   0.36677  
O83  1a     0.12769   0.50110   0.01301   1.00000   0.28510  

Displacive mode definitions

atom    x        y        z        dx      dy      dz   
P1[0,0,0]GM1(a)[Pb1:a:dsp]A_1(a) normfactor =  0.00279
Pb7   0.18701  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb9   0.24951  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb11  0.31201  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb13  0.37451  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb15  0.43701  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb2   0.49951  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb4   0.56201  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb6   0.62451  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb8   0.68701  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb10  0.74951  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb12  0.81201  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb14  0.87451  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb16  0.93701  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb1  -0.00049  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb3   0.06201  0.00000  0.01301 -1.0000  0.0000  0.0000 
Pb5   0.12451  0.00000  0.01301 -1.0000  0.0000  0.0000 

P1[0,0,0]GM1(a)[Pb1:a:dsp]A_2(a) normfactor =  0.04470
Pb7   0.18701  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb9   0.24951  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb11  0.31201  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb13  0.37451  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb15  0.43701  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb2   0.49951  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb4   0.56201  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb6   0.62451  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb8   0.68701  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb10  0.74951  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb12  0.81201  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb14  0.87451  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb16  0.93701  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb1  -0.00049  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb3   0.06201  0.00000  0.01301  0.0000 -1.0000  0.0000 
Pb5   0.12451  0.00000  0.01301  0.0000 -1.0000  0.0000 

P1[0,0,0]GM1(a)[Pb1:a:dsp]A_3(a) normfactor =  0.06420
Pb7   0.18701  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb9   0.24951  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb11  0.31201  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb13  0.37451  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb15  0.43701  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb2   0.49951  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb4   0.56201  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb6   0.62451  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb8   0.68701  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb10  0.74951  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb12  0.81201  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb14  0.87451  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb16  0.93701  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb1  -0.00049  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb3   0.06201  0.00000  0.01301  0.0000  0.0000  1.0000 
Pb5   0.12451  0.00000  0.01301  0.0000  0.0000  1.0000 

P1[0,0,0]GM1(a)[Pb2:a:dsp]A_1(a) normfactor =  0.00279
Pb21  0.15576  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb23  0.21826  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb25  0.28076  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb27  0.34326  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb29  0.40576  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb31  0.46826  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb18  0.53076  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb20  0.59326  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb22  0.65576  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb24  0.71826  0.50000  0.01301 -1.0000  0.0000  0.0000 
Pb26  0.78076  0.50000  0.01301 -1.0000  0.0000  0.0000 
